pair,score,n_mentions,n_contribs,member,party,state,chamber,is_current,first_contrib,last_contrib,first_mention,last_mention,sample_url,entity_id,bioguide
BOEING COMPANY -> Adam Smith,44500.0,6,17,Adam Smith,Democrat,WA,rep,1,2022-03-01,2025-11-14,2024-05-09,2024-11-06,https://adamsmith.house.gov/news/press-releases/rep-smith-statement-stalled-labor-negotiations-between-boeing-and-union-workers,406,S000510
"ENTERGY SERVICES, LLC -> Troy A. Carter",44200.0,5,24,Troy A. Carter,Democrat,LA,rep,1,2022-02-02,2025-12-15,2023-10-19,2025-01-10,https://troycarter.house.gov/media/press-releases/congressman-troy-carter-sr-statement-passing-daniel-f-packer-jr,785,C001125
BOEING COMPANY -> Mark R. Warner,43000.0,4,32,Mark R. Warner,Democrat,VA,sen,1,2022-04-12,2025-11-14,2022-05-05,2026-02-12,https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=FE9092C4-A98A-4FC8-986B-0783E86C6E46,406,W000805
GENERAL DYNAMICS CORPORATION -> Joe Courtney,43000.0,15,18,Joe Courtney,Democrat,CT,rep,1,2022-02-07,2025-12-09,2022-07-28,2025-12-10,https://courtney.house.gov/media-center/press-releases/rep-courtney-votes-pass-bipartisan-bill-expand-americans-access,919,C001069
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Andy Barr",40000.0,3,8,Andy Barr,Republican,KY,rep,1,2022-09-12,2025-12-15,2023-12-15,2025-05-03,https://barr.house.gov/press-releases?ID=B168D678-0C8F-4766-B711-1C51D5C74372,644,B001282
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Brian K. Fitzpatrick",40000.0,2,8,Brian K. Fitzpatrick,Republican,PA,rep,1,2022-03-17,2025-09-17,2022-04-07,2024-05-17,https://fitzpatrick.house.gov/2024/5/fitzpatrick-cartwright-reintroduce-bill-to-protect-the-rights-of-public-employees,2088,F000466
"AMAZON.COM SERVICES, INC. -> Mark R. Warner",38200.0,5,15,Mark R. Warner,Democrat,VA,sen,1,2022-09-12,2025-09-29,2023-08-16,2025-03-25,https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=E4C382BD-E6B4-4330-84A5-5382791B8FC8,125,W000805
PACIFIC GAS AND ELECTRIC COMPANY (FORMERLY PG&E CORPORATION) -> Mike Thompson,38000.0,19,13,Mike Thompson,Democrat,CA,rep,1,2022-04-08,2025-10-13,2022-11-21,2025-09-23,https://mikethompson.house.gov/newsroom/press-releases/thompson-steube-panetta-lamalfa-introduce-bipartisan-bill-extending-federal,1550,T000460
BOEING COMPANY -> Rick Larsen,37500.0,12,13,Rick Larsen,Democrat,WA,rep,1,2022-01-13,2025-11-14,2022-01-31,2026-02-11,https://larsen.house.gov/news/documentsingle.aspx?DocumentID=4106,406,L000560
CVS HEALTH (AND SUBSIDIARIES) -> Richard E. Neal,37500.0,2,8,Richard E. Neal,Democrat,MA,rep,1,2022-03-29,2025-12-17,2023-04-13,2025-07-17,https://neal.house.gov/2025/07/17/neal-democratic-health-leaders-urge-insurers-to-cover-vaccines/,668,N000015
"ELEVANCE HEALTH, INC. (FORMERLY REPORTED AS ANTHEM, INC.) -> Richard E. Neal",37500.0,2,9,Richard E. Neal,Democrat,MA,rep,1,2022-04-28,2025-09-08,2023-04-13,2025-07-17,https://neal.house.gov/2025/07/17/neal-democratic-health-leaders-urge-insurers-to-cover-vaccines/,757,N000015
GENERAL DYNAMICS CORPORATION -> Richard E. Neal,37000.0,5,13,Richard E. Neal,Democrat,MA,rep,1,2022-02-01,2025-12-02,2022-07-14,2024-12-11,https://neal.house.gov/2024/12/11/news-documentsingle-aspx-documentid-4092/,919,N000015
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Richard Hudson",37000.0,12,9,Richard Hudson,Republican,NC,rep,1,2022-04-06,2025-08-20,2023-01-17,2025-03-28,https://hudson.house.gov/press-releases/what-they-are-saying-hudson-introduces-concealed-carry-reciprocity-opposes-latest,1426,H001067
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Doris O. Matsui,37000.0,3,9,Doris O. Matsui,Democrat,CA,rep,1,2022-04-21,2025-06-19,2022-10-27,2024-05-06,https://matsui.house.gov/media/press-releases/matsui-and-guthrie-urge-biden-administration-review-federal-receiver,2194,M001163
COMCAST CORPORATION -> Doris O. Matsui,36000.0,5,15,Doris O. Matsui,Democrat,CA,rep,1,2022-04-28,2025-12-16,2023-10-27,2025-03-31,https://matsui.house.gov/media/in-the-news/west-sacramento-news-ledger-community-thanked-during-state-city,586,M001163
"HUNTINGTON INGALLS INDUSTRIES, INC. (FKA HUNTINGTON INGALLS INCORPORATED) -> Roger F. Wicker",36000.0,2,17,Roger F. Wicker,Republican,MS,sen,1,2022-03-21,2025-10-22,2023-12-14,2024-03-05,https://www.wicker.senate.gov/2024/3/senator-wicker-visits-gulf-coast-shipyards-with-navy-marine-corps-leadership,1035,W000437
BOEING COMPANY -> Lindsey Graham,35500.0,5,15,Lindsey Graham,Republican,SC,sen,1,2022-04-12,2025-10-27,2022-04-22,2025-05-14,https://www.lgraham.senate.gov/public/index.cfm/press-releases?ID=F89DACBE-E963-460F-9F88-4FBE77A0E125,406,G000359
NCTA - THE INTERNET & TELEVISION ASSOCIATION (FKA NAT'L CABLE & TELECOM ASSOC.) -> Doris O. Matsui,35500.0,8,11,Doris O. Matsui,Democrat,CA,rep,1,2022-06-02,2025-12-30,2023-05-22,2024-04-26,https://matsui.house.gov/media/in-the-news/communications-daily-thune-and-latta-skeptical-white-house-call-6b-supplemental,1437,M001163
